Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
J8715A,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
J8715A,,Switch,Layer,L3,2,Wertliste,Attribut
J8715A,,Switch,Switching-Kapazität,Fabric-vermittelt (System-Switching-Kapazität modellspezifisch nicht ausgewiesen; bis 428 Mpps Durchsatz),8,Wertliste,Attribut
J8715A,,Switch,Bauform,19-Zoll-Rackmontage (9 HE),10,Wertliste,Attribut
J8715A,,Switch,Stromversorgung,"Hot-Swap-zl-Netzteilschächte (J8712A 875 W / J9306A 1500 W PoE+; N+1-Redundanz, hot-swap; separat bestellt)",11,Wertliste,Attribut
J8715A,,Switch,Kühlung,"Lüftergekühlt (Lüftertray, Airflow front-to-back)",12,Wertliste,Attribut
J8715A,,Switch,Anwendung,"Campus-Core/Rechenzentrums-Aggregation (modularer Layer-3-Switch, ProVision)",15,Wertliste,Attribut
J8715A,,Switch,Steckplätze,"12 Linecard-Steckplätze + dedizierte Management-, Fabric- und System-Support-Modul-Schächte",16,Wertliste,Attribut
J8715A,,Switch,Unterstützte Supervisor-Engines,"HP ProCurve 8200zl Management Module (J9092A) mit diskretem Fabric-Modul (J9093A) und System-Support-Modul (J9095A), redundant",17,Wertliste,Attribut
J8715A,,Switch,Redundanz,"Redundante Fabric-, Management-, Netzteil- und Lüfter-Ebene",18,Wertliste,Attribut
J8715B,,Switch,Switch-Typ,Modular-Chassis,1,Wertliste,Attribut
J8715B,,Switch,Layer,L3,2,Wertliste,Attribut
J8715B,,Switch,Switching-Kapazität,Fabric-vermittelt (System-Switching-Kapazität modellspezifisch nicht ausgewiesen; bis 428 Mpps Durchsatz),8,Wertliste,Attribut
J8715B,,Switch,Bauform,19-Zoll-Rackmontage (9 HE),10,Wertliste,Attribut
J8715B,,Switch,Stromversorgung,"Hot-Swap-zl-Netzteilschächte (J8712A 875 W / J9306A 1500 W PoE+; N+1-Redundanz, hot-swap; separat bestellt)",11,Wertliste,Attribut
J8715B,,Switch,Kühlung,"Lüftergekühlt (Lüftertray, Airflow front-to-back)",12,Wertliste,Attribut
J8715B,,Switch,Anwendung,"Campus-Core/Rechenzentrums-Aggregation (modularer Layer-3-Switch, ProVision)",15,Wertliste,Attribut
J8715B,,Switch,Steckplätze,"12 Linecard-Steckplätze + dedizierte Management-, Fabric- und System-Support-Modul-Schächte",16,Wertliste,Attribut
