Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
J9534A,,Switch,Portanzahl,24,3,Wertliste,Attribut
J9534A,,Switch,Port-Konfiguration,"24× 10/100/1000 (RJ45, Class 4 PoE+)",4,Wertliste,Attribut
J9534A,,Switch,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung des Chassis)",7,Wertliste,Attribut
J9534A,,Switch,Switching-Kapazität,Chassis-Backplane-vermittelt (modellspezifischer Wert nicht ausgewiesen),8,Wertliste,Attribut
J9534A,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
J9534A,,Switch,Kompatible Serie,HP ProCurve 5400zl / 8200zl,20,Wertliste,Attribut
J9535A,,Switch,Portanzahl,24,3,Wertliste,Attribut
J9535A,,Switch,Port-Konfiguration,"20× 10/100/1000 (RJ45, Class 4 PoE+) + 4× SFP (1G)",4,Wertliste,Attribut
J9535A,,Switch,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung des Chassis)",7,Wertliste,Attribut
J9535A,,Switch,Switching-Kapazität,Chassis-Backplane-vermittelt (modellspezifischer Wert nicht ausgewiesen),8,Wertliste,Attribut
J9535A,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
J9535A,,Switch,Kompatible Serie,HP ProCurve 5400zl / 8200zl,20,Wertliste,Attribut
J9536A,,Switch,Portanzahl,22,3,Wertliste,Attribut
J9536A,,Switch,Port-Konfiguration,"20× 10/100/1000 (RJ45, Class 4 PoE+) + 2× SFP+ (10G)",4,Wertliste,Attribut
J9536A,,Switch,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung des Chassis)",7,Wertliste,Attribut
J9536A,,Switch,Switching-Kapazität,Chassis-Backplane-vermittelt (modellspezifischer Wert nicht ausgewiesen),8,Wertliste,Attribut
J9536A,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
J9536A,,Switch,Kompatible Serie,HP ProCurve 5400zl / 8200zl,20,Wertliste,Attribut
J9537A,,Switch,Portanzahl,24,3,Wertliste,Attribut
J9537A,,Switch,Port-Konfiguration,24× SFP (1G Glasfaser),4,Wertliste,Attribut
J9537A,,Switch,PoE,Nein,7,Wertliste,Attribut
J9537A,,Switch,Switching-Kapazität,Chassis-Backplane-vermittelt (modellspezifischer Wert nicht ausgewiesen),8,Wertliste,Attribut
J9537A,,Switch,Modultyp,Linecard,19,Wertliste,Attribut
J9537A,,Switch,Kompatible Serie,HP ProCurve 5400zl / 8200zl,20,Wertliste,Attribut
J9538A,,Switch,Portanzahl,8,3,Wertliste,Attribut
J9538A,,Switch,Port-Konfiguration,8× SFP+ (10G),4,Wertliste,Attribut
