Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
J9534A,Portanzahl,24,https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9534A,Port-Konfiguration,"24× 10/100/1000 (RJ45, Class 4 PoE+)",https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9534A,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung des Chassis)",https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9534A,Switching-Kapazität,Chassis-Backplane-vermittelt (modellspezifischer Wert nicht ausgewiesen),https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9534A,Modultyp,Linecard,https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9534A,Kompatible Serie,HP ProCurve 5400zl / 8200zl,https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9535A,Portanzahl,24,https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9535A,Port-Konfiguration,"20× 10/100/1000 (RJ45, Class 4 PoE+) + 4× SFP (1G)",https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9535A,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung des Chassis)",https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9535A,Switching-Kapazität,Chassis-Backplane-vermittelt (modellspezifischer Wert nicht ausgewiesen),https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9535A,Modultyp,Linecard,https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9535A,Kompatible Serie,HP ProCurve 5400zl / 8200zl,https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9536A,Portanzahl,22,https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9536A,Port-Konfiguration,"20× 10/100/1000 (RJ45, Class 4 PoE+) + 2× SFP+ (10G)",https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9536A,PoE,"Ja (IEEE 802.3at Class 4 PoE+, 30 W/Port; Gesamt-PoE-Budget abhängig von der Netzteilbestückung des Chassis)",https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9536A,Switching-Kapazität,Chassis-Backplane-vermittelt (modellspezifischer Wert nicht ausgewiesen),https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9536A,Modultyp,Linecard,https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9536A,Kompatible Serie,HP ProCurve 5400zl / 8200zl,https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9537A,Portanzahl,24,https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9537A,Port-Konfiguration,24× SFP (1G Glasfaser),https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9537A,Switching-Kapazität,Chassis-Backplane-vermittelt (modellspezifischer Wert nicht ausgewiesen),https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9537A,Modultyp,Linecard,https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9537A,Kompatible Serie,HP ProCurve 5400zl / 8200zl,https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9538A,Portanzahl,8,https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9538A,Port-Konfiguration,8× SFP+ (10G),https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9538A,Switching-Kapazität,Chassis-Backplane-vermittelt (modellspezifischer Wert nicht ausgewiesen),https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9538A,Modultyp,Linecard,https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9538A,Kompatible Serie,HP ProCurve 5400zl / 8200zl,https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
J9546A,Portanzahl,8,https://andovercg.com/datasheets/hpe-5400zl-Switch-modules.pdf,datasheet,2026-07-01T11:30:03Z
