Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
CRS106-1C-5S,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS326-24G-2S+RM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CSS326-24G-2S+RM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CSS106-5G-1S,,condition,Funktionsattribut,Wertliste,Deutsch,new
CSS106-1G-4P-1S,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS112-8P-4S-IN,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS304-4XG-IN,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS305-1G-4S+IN,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS309-1G-8S+IN,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS310-1G-5S-4S+IN,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS310-8G+2S+IN,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS312-4C+8XG-RM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS317-1G-16S+RM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS318-1Fi-15Fr-2S-OUT,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS320-8P-8B-4S+RM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS326-24G-2S+IN,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS326-24S+2Q+RM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS326-4C+20G+2Q+RM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS328-24P-4S+RM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS328-4C-20S-4S+RM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS354-48G-4S+2Q+RM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS354-48P-4S+2Q+RM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS418-8P-8G-2S+RM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS418-8P-8G-2S+5axQ2axQ-RM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS504-4XQ-IN,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS504-4XQ-OUT,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS510-8XS-2XQ-IN,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS518-16XS-2XQ-RM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS520-4XS-16XQ-RM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS804-4DDQ-hRM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS812-8DS-2DQ-2DDQ-RM,,condition,Funktionsattribut,Wertliste,Deutsch,new
CSS318-16G-2S+IN,,condition,Funktionsattribut,Wertliste,Deutsch,new
CSS610-8G-2S+IN,,condition,Funktionsattribut,Wertliste,Deutsch,new
CSS610-8P-2S+IN,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS318-16P-2S+OUT,,condition,Funktionsattribut,Wertliste,Deutsch,new
CSS610-1Gi-7R-2S+OUT,,condition,Funktionsattribut,Wertliste,Deutsch,new
CSS610-8P-2S+OUT,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS310-1G-5S-4S+OUT,,condition,Funktionsattribut,Wertliste,Deutsch,new
CRS305-1G-4S+OUT,,condition,Funktionsattribut,Wertliste,Deutsch,new
