Artikelnummer,FAQ
CRS106-1C-5S,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS106-1C-5S ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS vorgesehen.##Wie viele Ports hat der CRS106-1C-5S?||Der CRS106-1C-5S bietet insgesamt 6 Ports: 5× SFP (1G), 1× Combo (RJ45/SFP).##Welches Betriebssystem nutzt der CRS106-1C-5S?||Der CRS106-1C-5S läuft unter RouterOS und wird als Managed-Switch betrieben."
CRS326-24G-2S+RM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS326-24G-2S+RM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS / SwitchOS vorgesehen.##Wie viele Ports hat der CRS326-24G-2S+RM?||Der CRS326-24G-2S+RM bietet insgesamt 26 Ports: 24× Gigabit-RJ45, 2× SFP+ (10G).##Welches Betriebssystem nutzt der CRS326-24G-2S+RM?||Der CRS326-24G-2S+RM läuft unter RouterOS / SwitchOS und wird als Managed-Switch betrieben."
CSS326-24G-2S+RM,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CSS326-24G-2S+RM ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter SwOS vorgesehen.##Wie viele Ports hat der CSS326-24G-2S+RM?||Der CSS326-24G-2S+RM bietet insgesamt 26 Ports: 24× Gigabit-RJ45, 2× SFP+ (10G).##Welches Betriebssystem nutzt der CSS326-24G-2S+RM?||Der CSS326-24G-2S+RM läuft unter SwOS und wird als Smart-Managed-Switch betrieben."
CSS106-5G-1S,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CSS106-5G-1S ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter MikroTik SwOS vorgesehen.##Wie viele Ports hat der CSS106-5G-1S?||Der CSS106-5G-1S bietet insgesamt 6 Ports: 5× Gigabit-RJ45, 1× SFP (1G).##Welches Betriebssystem nutzt der CSS106-5G-1S?||Der CSS106-5G-1S läuft unter MikroTik SwOS und wird als Smart-Managed-Switch betrieben."
CSS106-1G-4P-1S,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CSS106-1G-4P-1S ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter MikroTik SwOS vorgesehen.##Wie viele Ports hat der CSS106-1G-4P-1S?||Der CSS106-1G-4P-1S bietet insgesamt 6 Ports: 5× Gigabit-RJ45, 1× SFP (1G).##Unterstützt der CSS106-1G-4P-1S PoE?||Ja, der CSS106-1G-4P-1S stellt PoE-Out (Passive PoE) bereit und versorgt angeschlossene Geräte über das Netzwerkkabel."
CRS112-8P-4S-IN,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS112-8P-4S-IN ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS vorgesehen.##Wie viele Ports hat der CRS112-8P-4S-IN?||Der CRS112-8P-4S-IN bietet insgesamt 12 Ports: 8× Gigabit-RJ45, 4× SFP (1G).##Unterstützt der CRS112-8P-4S-IN PoE?||Ja, der CRS112-8P-4S-IN stellt PoE-Out (802.3af/at) bereit und versorgt angeschlossene Geräte über das Netzwerkkabel."
CRS304-4XG-IN,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS304-4XG-IN ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 vorgesehen.##Wie viele Ports hat der CRS304-4XG-IN?||Der CRS304-4XG-IN bietet insgesamt 5 Ports: 1× Gigabit-RJ45, 4× Multi-Gig-RJ45 (bis 10G).##Welches Betriebssystem nutzt der CRS304-4XG-IN?||Der CRS304-4XG-IN läuft unter RouterOS v7 und wird als Managed-Switch betrieben."
CRS305-1G-4S+IN,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS305-1G-4S+IN ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS / SwitchOS vorgesehen.##Wie viele Ports hat der CRS305-1G-4S+IN?||Der CRS305-1G-4S+IN bietet insgesamt 5 Ports: 1× Gigabit-RJ45, 4× SFP+ (10G).##Welches Betriebssystem nutzt der CRS305-1G-4S+IN?||Der CRS305-1G-4S+IN läuft unter RouterOS / SwitchOS und wird als Managed-Switch betrieben."
CRS309-1G-8S+IN,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS309-1G-8S+IN ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS / SwitchOS vorgesehen.##Wie viele Ports hat der CRS309-1G-8S+IN?||Der CRS309-1G-8S+IN bietet insgesamt 9 Ports: 1× Gigabit-RJ45, 8× SFP+ (10G).##Welches Betriebssystem nutzt der CRS309-1G-8S+IN?||Der CRS309-1G-8S+IN läuft unter RouterOS / SwitchOS und wird als Managed-Switch betrieben."
CRS310-1G-5S-4S+IN,"Ist dies ein originales MikroTik-Produkt?||Ja. Der CRS310-1G-5S-4S+IN ist MikroTik-Original-Neuware – versiegelt geliefert und für den Betrieb unter RouterOS v7 / SwitchOS vorgesehen.##Wie viele Ports hat der CRS310-1G-5S-4S+IN?||Der CRS310-1G-5S-4S+IN bietet insgesamt 10 Ports: 1× Gigabit-RJ45, 5× SFP (1G), 4× SFP+ (10G).##Welches Betriebssystem nutzt der CRS310-1G-5S-4S+IN?||Der CRS310-1G-5S-4S+IN läuft unter RouterOS v7 / SwitchOS und wird als Managed-Switch betrieben."
