Artikelnummer,GTIN,Attributgruppe,Attributname,Attributwert,Sortiernummer,Datentyp (sonst automatisch ermittelt),Attributart
CRS106-1C-5S,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
CRS106-1C-5S,,Switch,Layer,L3 (RouterOS) / L2 (SwitchOS),2,Wertliste,Attribut
CRS106-1C-5S,,Switch,Portanzahl,6,3,Wertliste,Attribut
CRS106-1C-5S,,Switch,Port-Konfiguration,"5× SFP (1G), 1× Combo (RJ45/SFP)",4,Wertliste,Attribut
CRS106-1C-5S,,Switch,Port-Geschwindigkeit,"1 GbE (Access), bis 1 GbE (Uplink)",5,Wertliste,Attribut
CRS106-1C-5S,,Switch,Uplink-Ports,5× SFP (1G),6,Wertliste,Attribut
CRS106-1C-5S,,Switch,PoE,Nein,7,Wertliste,Attribut
CRS106-1C-5S,,Switch,Switching-Kapazität,12 Gbps,8,Wertliste,Attribut
CRS106-1C-5S,,Switch,Bauform,Desktop,10,Wertliste,Attribut
CRS106-1C-5S,,Switch,Stromversorgung,intern,11,Wertliste,Attribut
CRS106-1C-5S,,Switch,Kühlung,lüfterlos,12,Wertliste,Attribut
CRS106-1C-5S,,Switch,Stacking,Nein,13,Wertliste,Attribut
CRS106-1C-5S,,Switch,Betriebstemperatur,-20 bis 70 °C,14,Wertliste,Attribut
CRS106-1C-5S,,Switch,Anwendung,Access-/Aggregations-Layer,15,Wertliste,Attribut
CRS326-24G-2S+RM,,Switch,Switch-Typ,Managed,1,Wertliste,Attribut
CRS326-24G-2S+RM,,Switch,Layer,L3 (RouterOS) / L2 (SwitchOS),2,Wertliste,Attribut
CRS326-24G-2S+RM,,Switch,Portanzahl,26,3,Wertliste,Attribut
CRS326-24G-2S+RM,,Switch,Port-Konfiguration,"24× Gigabit-RJ45, 2× SFP+ (10G)",4,Wertliste,Attribut
CRS326-24G-2S+RM,,Switch,Port-Geschwindigkeit,"1 GbE (Access), bis 10 GbE (Uplink)",5,Wertliste,Attribut
CRS326-24G-2S+RM,,Switch,Uplink-Ports,2× SFP+ (10G),6,Wertliste,Attribut
CRS326-24G-2S+RM,,Switch,PoE,Nein,7,Wertliste,Attribut
CRS326-24G-2S+RM,,Switch,Switching-Kapazität,88 Gbps,8,Wertliste,Attribut
CRS326-24G-2S+RM,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
CRS326-24G-2S+RM,,Switch,Stromversorgung,intern,11,Wertliste,Attribut
CRS326-24G-2S+RM,,Switch,Kühlung,lüfterlos,12,Wertliste,Attribut
CRS326-24G-2S+RM,,Switch,Stacking,Nein,13,Wertliste,Attribut
CRS326-24G-2S+RM,,Switch,Betriebstemperatur,-40 bis 60 °C,14,Wertliste,Attribut
CRS326-24G-2S+RM,,Switch,Anwendung,Access-/Aggregations-Layer,15,Wertliste,Attribut
CSS326-24G-2S+RM,,Switch,Switch-Typ,Smart-Managed,1,Wertliste,Attribut
CSS326-24G-2S+RM,,Switch,Layer,L2,2,Wertliste,Attribut
CSS326-24G-2S+RM,,Switch,Portanzahl,26,3,Wertliste,Attribut
CSS326-24G-2S+RM,,Switch,Port-Konfiguration,"24× Gigabit-RJ45, 2× SFP+ (10G)",4,Wertliste,Attribut
CSS326-24G-2S+RM,,Switch,Port-Geschwindigkeit,"1 GbE (Access), bis 10 GbE (Uplink)",5,Wertliste,Attribut
CSS326-24G-2S+RM,,Switch,Uplink-Ports,2× SFP+ (10G),6,Wertliste,Attribut
CSS326-24G-2S+RM,,Switch,PoE,Nein,7,Wertliste,Attribut
CSS326-24G-2S+RM,,Switch,Switching-Kapazität,88 Gbps,8,Wertliste,Attribut
CSS326-24G-2S+RM,,Switch,Bauform,19-Zoll-Rackmontage (1 HE),10,Wertliste,Attribut
CSS326-24G-2S+RM,,Switch,Stromversorgung,intern,11,Wertliste,Attribut
CSS326-24G-2S+RM,,Switch,Kühlung,lüfterlos,12,Wertliste,Attribut
CSS326-24G-2S+RM,,Switch,Stacking,Nein,13,Wertliste,Attribut
CSS326-24G-2S+RM,,Switch,Betriebstemperatur,-20 bis 70 °C,14,Wertliste,Attribut
CSS326-24G-2S+RM,,Switch,Anwendung,Access-/Aggregations-Layer,15,Wertliste,Attribut
CSS106-5G-1S,,Switch,Switch-Typ,Smart-Managed,1,Wertliste,Attribut
CSS106-5G-1S,,Switch,Layer,L2,2,Wertliste,Attribut
CSS106-5G-1S,,Switch,Portanzahl,6,3,Wertliste,Attribut
CSS106-5G-1S,,Switch,Port-Konfiguration,"5× Gigabit-RJ45, 1× SFP (1G)",4,Wertliste,Attribut
CSS106-5G-1S,,Switch,Port-Geschwindigkeit,"1 GbE (Access), bis 1 GbE (Uplink)",5,Wertliste,Attribut
CSS106-5G-1S,,Switch,Uplink-Ports,1× SFP (1G),6,Wertliste,Attribut
CSS106-5G-1S,,Switch,PoE,Nein,7,Wertliste,Attribut
CSS106-5G-1S,,Switch,Switching-Kapazität,12 Gbps,8,Wertliste,Attribut
CSS106-5G-1S,,Switch,Bauform,Desktop,10,Wertliste,Attribut
CSS106-5G-1S,,Switch,Stromversorgung,intern,11,Wertliste,Attribut
