Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
CRS106-1C-5S,Switch-Typ,Managed,https://mikrotik.com/product/CRS106-1C-5S,datasheet,2026-06-21T17:44:39Z
CRS106-1C-5S,Layer,L3 (RouterOS) / L2 (SwitchOS),https://mikrotik.com/product/CRS106-1C-5S,datasheet,2026-06-21T17:44:39Z
CRS106-1C-5S,Portanzahl,6,https://mikrotik.com/product/CRS106-1C-5S,datasheet,2026-06-21T17:44:39Z
CRS106-1C-5S,Port-Konfiguration,"5× SFP (1G), 1× Combo (RJ45/SFP)",https://mikrotik.com/product/CRS106-1C-5S,datasheet,2026-06-21T17:44:39Z
CRS106-1C-5S,Port-Geschwindigkeit,"1 GbE (Access), bis 1 GbE (Uplink)",https://mikrotik.com/product/CRS106-1C-5S,datasheet,2026-06-21T17:44:39Z
CRS106-1C-5S,Uplink-Ports,5× SFP (1G),https://mikrotik.com/product/CRS106-1C-5S,datasheet,2026-06-21T17:44:39Z
CRS106-1C-5S,PoE,Nein,https://mikrotik.com/product/CRS106-1C-5S,datasheet,2026-06-21T17:44:39Z
CRS106-1C-5S,Switching-Kapazität,12 Gbps,https://mikrotik.com/products/group/switches,vendor-spec: Port-Summe×2 (MikroTik Non-Blocking-Konvention),2026-06-21T17:44:39Z
CRS106-1C-5S,Bauform,Desktop,https://mikrotik.com/product/CRS106-1C-5S,datasheet,2026-06-21T17:44:39Z
CRS106-1C-5S,Stromversorgung,intern,https://mikrotik.com/product/CRS106-1C-5S,datasheet,2026-06-21T17:44:39Z
CRS106-1C-5S,Kühlung,lüfterlos,https://mikrotik.com/product/CRS106-1C-5S,datasheet,2026-06-21T17:44:39Z
CRS106-1C-5S,Stacking,Nein,https://mikrotik.com/product/CRS106-1C-5S,datasheet,2026-06-21T17:44:39Z
CRS106-1C-5S,Betriebstemperatur,-20 bis 70 °C,https://mikrotik.com/product/CRS106-1C-5S,datasheet,2026-06-21T17:44:39Z
CRS106-1C-5S,Anwendung,Access-/Aggregations-Layer,https://mikrotik.com/product/CRS106-1C-5S,datasheet,2026-06-21T17:44:39Z
CRS326-24G-2S+RM,Switch-Typ,Managed,https://mikrotik.com/product/CRS326-24G-2SplusRM,datasheet,2026-06-21T17:44:39Z
CRS326-24G-2S+RM,Layer,L3 (RouterOS) / L2 (SwitchOS),https://mikrotik.com/product/CRS326-24G-2SplusRM,datasheet,2026-06-21T17:44:39Z
CRS326-24G-2S+RM,Portanzahl,26,https://mikrotik.com/product/CRS326-24G-2SplusRM,datasheet,2026-06-21T17:44:39Z
CRS326-24G-2S+RM,Port-Konfiguration,"24× Gigabit-RJ45, 2× SFP+ (10G)",https://mikrotik.com/product/CRS326-24G-2SplusRM,datasheet,2026-06-21T17:44:39Z
CRS326-24G-2S+RM,Port-Geschwindigkeit,"1 GbE (Access), bis 10 GbE (Uplink)",https://mikrotik.com/product/CRS326-24G-2SplusRM,datasheet,2026-06-21T17:44:39Z
CRS326-24G-2S+RM,Uplink-Ports,2× SFP+ (10G),https://mikrotik.com/product/CRS326-24G-2SplusRM,datasheet,2026-06-21T17:44:39Z
CRS326-24G-2S+RM,PoE,Nein,https://mikrotik.com/product/CRS326-24G-2SplusRM,datasheet,2026-06-21T17:44:39Z
CRS326-24G-2S+RM,Switching-Kapazität,88 Gbps,https://mikrotik.com/products/group/switches,vendor-spec: Port-Summe×2 (MikroTik Non-Blocking-Konvention),2026-06-21T17:44:39Z
CRS326-24G-2S+RM,Bauform,19-Zoll-Rackmontage (1 HE),https://mikrotik.com/product/CRS326-24G-2SplusRM,datasheet,2026-06-21T17:44:39Z
CRS326-24G-2S+RM,Stromversorgung,intern,https://mikrotik.com/product/CRS326-24G-2SplusRM,datasheet,2026-06-21T17:44:39Z
CRS326-24G-2S+RM,Kühlung,lüfterlos,https://mikrotik.com/product/CRS326-24G-2SplusRM,datasheet,2026-06-21T17:44:39Z
CRS326-24G-2S+RM,Stacking,Nein,https://mikrotik.com/product/CRS326-24G-2SplusRM,datasheet,2026-06-21T17:44:39Z
CRS326-24G-2S+RM,Betriebstemperatur,-40 bis 60 °C,https://mikrotik.com/product/CRS326-24G-2SplusRM,datasheet,2026-06-21T17:44:39Z
